X,Y,Z
795,-283,-248
465,-623,1271
217,-175,1631
544,-718,1032
718,-106,-653
-194,1264,1187
607,206,-891
659,-722,37
479,-535,915
682,-820,36
734,-378,-745
-108,1301,1249
691,-761,-395
-49,1027,1267
352,783,-385
612,-264,-581
477,237,-372
517,431,-539
579,-189,-505
460,506,-455
586,5,-569
511,123,-416
492,373,-511
570,-99,-513
491,325,-408
536,189,-523
553,-28,-476
483,317,-430
532,165,-506
547,25,-488
506,263,-438
527,182,-497
542,62,-502
518,202,-479
537,116,-490
515,166,-470
525,183,-476
530,138,-485
518,170,-476
508,161,-480
527,153,-481
522,165,-473
520,155,-486
535,152,-469
516,158,-478
522,162,-476
531,155,-468
532,152,-478
528,152,-476
520,167,-476
523,161,-485
527,157,-475
527,157,-482
523,172,-482
523,160,-479
526,164,-484
521,161,-474
526,158,-476
524,156,-466
525,158,-463
526,157,-484
532,162,-479
523,170,-479
530,159,-477
521,168,-486
524,164,-471
524,179,-479
528,156,-471
530,170,-481
540,160,-473
523,150,-470
518,160,-464
507,157,-483
525,170,-471
523,152,-487
519,162,-480
516,182,-480
511,166,-470
513,179,-486
524,171,-491
523,170,-484
524,173,-482
530,166,-474
528,161,-494
526,168,-499
510,166,-483
513,167,-491
518,158,-468
515,168,-483
519,168,-488
502,165,-488
514,173,-474
514,165,-487
513,171,-476
522,171,-470
518,168,-486
514,169,-486
502,176,-480
509,180,-482
507,180,-492
507,176,-481
506,169,-480
508,180,-482
509,170,-474
502,185,-490
507,185,-486
502,192,-486
498,203,-491
496,212,-481
472,213,-494
476,209,-501
490,204,-495
472,217,-489
463,216,-493
465,214,-494
472,223,-495
457,231,-502
459,231,-495
454,236,-500
436,230,-489
454,247,-496
440,240,-500
457,244,-501
456,237,-506
442,244,-495
446,245,-495
444,238,-501
443,236,-511
450,248,-493
445,243,-495
443,259,-503
446,253,-507
444,247,-483
436,238,-497
434,246,-494
453,248,-483
444,248,-502
443,229,-500
434,243,-494
446,246,-507
436,255,-490
445,242,-498
439,247,-490
439,242,-493
429,249,-498
439,245,-498
453,245,-492
433,248,-486
448,243,-478
435,243,-480
443,252,-475
452,241,-495
434,259,-487
446,252,-481
442,257,-490
446,253,-480
440,259,-492
441,250,-486
448,247,-476
437,245,-482
443,252,-484
442,256,-482
434,246,-478
437,248,-487
441,255,-476
437,252,-483
449,239,-486
445,241,-488
453,238,-482
444,248,-487
442,241,-482
450,266,-487
449,244,-486
439,248,-488
445,246,-479
434,249,-478
441,266,-483
440,256,-478
439,253,-467
436,249,-481
441,253,-495
436,254,-480
439,263,-489
440,255,-492
433,254,-481
450,254,-476
444,258,-479
439,248,-481
442,253,-475
447,263,-489
436,261,-477
441,265,-478
451,262,-479
437,259,-477
451,253,-482
437,257,-477
451,261,-471
445,248,-475
438,255,-474
433,256,-480
